"ID","Day","Quantity"
"101016","39","31143"
"102904","39","9938"
"103294","39","28890"
"104994","39","14806"
"105225","39","28352"
"107284","39","11400"
"107909","39","14795"
"108613","39","23405"
"109056","39","5000"
"110488","39","16000"
"110670","39","16500"
"111823","39","10000"
"112003","39","21000"
"112121","39","16000"
"113376","39","11500"
"113740","39","15000"
"116207","39","500"
"117086","39","2000"
"117301","39","1500"
"117489","39","4000"
"117606","39","3500"
"2","40","5757"
"4","40","8306"
"14","40","9809"
"18","40","7396"
"33","40","6672"
"47","40","6233"
"544","40","426"
"572","40","963"
"600","40","4744"
"743","40","3671"
"863","40","6706"
"1061","40","6814"
"1389","40","5491"
"18211","40","5065"
"22022","40","33503"
"23043","40","5548"
"24089","40","5296"
"28171","40","6023"
"57357","40","26722"
"60691","40","5245"
"69486","40","21680"
"95660","40","22933"
"95841","40","13464"
"96011","40","13704"
"100761","40","14597"
"101016","40","31143"
"102904","40","9938"
"103294","40","28890"
"104994","40","14806"
"105225","40","28352"
"107284","40","11400"
"107909","40","14795"
"108613","40","23405"
"109056","40","5000"
"110488","40","16000"
"110670","40","16500"
"111823","40","10000"
"112003","40","21000"
"112121","40","16000"
"113376","40","11500"
"113740","40","15000"
"116207","40","500"
"117086","40","2000"
"117301","40","1500"
"117489","40","4000"
"117606","40","3500"
"2","43","5757"
"4","43","8306"
"14","43","9809"
"18","43","7396"
"33","43","6672"
"47","43","6233"
"544","43","426"
"572","43","963"
"600","43","4744"
"743","43","3671"
"863","43","6706"
"1061","43","6814"
"1389","43","5491"
"18211","43","5065"
"22022","43","33503"
"23043","43","5548"
"24089","43","5296"
"28171","43","6023"
"57357","43","26722"
"60691","43","5245"
"69486","43","21680"
"95660","43","22933"
"95841","43","13464"
"96011","43","13704"
"100761","43","14597"
"101016","43","31143"
"102904","43","9938"
"103294","43","28890"
"104994","43","14806"
"105225","43","28352"
"107284","43","11400"
"107909","43","14795"
"108613","43","23405"
"109056","43","5000"
"110488","43","16000"
"110670","43","16500"
"111823","43","10000"
"112003","43","21000"
"112121","43","16000"
"113376","43","11500"
"113740","43","15000"
"116207","43","500"
"117086","43","2000"
"117301","43","1500"
"117489","43","4000"
"117606","43","3500"
"2","44","5757"
"4","44","8306"
"14","44","9809"
"18","44","7396"
"33","44","6672"
"47","44","6233"
"544","44","426"
"572","44","963"
"600","44","4744"
"743","44","3671"
"863","44","6706"
"1061","44","6814"
"1389","44","5491"
"18211","44","5065"
"22022","44","33503"
"23043","44","5548"
"24089","44","5296"
"28171","44","6023"
"57357","44","26722"
"60691","44","5245"
"69486","44","21680"
"95660","44","22933"
"95841","44","13464"
"96011","44","13704"
"100761","44","14597"
"101016","44","31143"
"102904","44","9938"
"103294","44","28890"
"104994","44","14806"
"105225","44","28352"
"107284","44","11400"
"107909","44","14795"
"108613","44","23405"
"109056","44","5000"
"110488","44","16000"
"110670","44","16500"
"111823","44","10000"
"112003","44","21000"
"112121","44","16000"
"113376","44","11500"
"113740","44","15000"
"116207","44","500"
"117086","44","2000"
"117301","44","1500"
"117489","44","4000"
"117606","44","3500"
"2","45","5757"
"4","45","8306"
"14","45","9809"
"18","45","7396"
"33","45","6672"
"47","45","6233"
"544","45","426"
"572","45","963"
"600","45","4744"
"743","45","3671"
"863","45","6706"
"1061","45","6814"
"1389","45","5491"
"18211","45","5065"
"22022","45","33503"
"23043","45","5548"
"24089","45","5296"
"28171","45","6023"
"57357","45","26722"
"60691","45","5245"
"69486","45","21680"
"95660","45","22933"
"95841","45","13464"
"96011","45","13704"
"100761","45","14597"
"101016","45","31143"
"102904","45","9938"
"103294","45","28890"
"104994","45","14806"
"105225","45","28352"
"107284","45","11400"
"107909","45","14795"
"108613","45","23405"
"109056","45","5000"
"110488","45","16000"
"110670","45","16500"
"111823","45","10000"
"112003","45","21000"
"112121","45","16000"
"113376","45","11500"
"113740","45","15000"
"116207","45","500"
"117086","45","4000"
"117301","45","1500"
"117489","45","4000"
"117606","45","3500"
"2","46","5757"
"4","46","8306"
"14","46","9809"
"18","46","7396"
"33","46","6672"
